fecha,valor_eur_mwh,concepto,tipo,variable_iseu,extraido_en
2025-03-02T07:00:00.000+01:00,51.9,Precio mercado spot,Precio mercado spot,Precio electricidad,2026-04-01T22:29:03
2025-03-02T07:15:00.000+01:00,51.9,Precio mercado spot,Precio mercado spot,Precio electricidad,2026-04-01T22:29:03
2025-03-02T07:30:00.000+01:00,51.9,Precio mercado spot,Precio mercado spot,Precio electricidad,2026-04-01T22:29:03
2025-03-02T07:45:00.000+01:00,51.9,Precio mercado spot,Precio mercado spot,Precio electricidad,2026-04-01T22:29:03
2025-03-02T08:00:00.000+01:00,51.9,Precio mercado spot,Precio mercado spot,Precio electricidad,2026-04-01T22:29:03
2025-03-02T08:15:00.000+01:00,51.9,Precio mercado spot,Precio mercado spot,Precio electricidad,2026-04-01T22:29:03
2025-03-02T08:30:00.000+01:00,51.9,Precio mercado spot,Precio mercado spot,Precio electricidad,2026-04-01T22:29:03
2025-03-02T08:45:00.000+01:00,51.9,Precio mercado spot,Precio mercado spot,Precio electricidad,2026-04-01T22:29:03
2025-03-02T09:00:00.000+01:00,52.5,Precio mercado spot,Precio mercado spot,Precio electricidad,2026-04-01T22:29:03
2025-03-02T09:15:00.000+01:00,52.5,Precio mercado spot,Precio mercado spot,Precio electricidad,2026-04-01T22:29:03
2025-03-02T09:30:00.000+01:00,52.5,Precio mercado spot,Precio mercado spot,Precio electricidad,2026-04-01T22:29:03
2025-03-02T09:45:00.000+01:00,52.5,Precio mercado spot,Precio mercado spot,Precio electricidad,2026-04-01T22:29:03
2025-03-02T10:00:00.000+01:00,60.5,Precio mercado spot,Precio mercado spot,Precio electricidad,2026-04-01T22:29:03
2025-03-02T10:15:00.000+01:00,60.5,Precio mercado spot,Precio mercado spot,Precio electricidad,2026-04-01T22:29:03
2025-03-02T10:30:00.000+01:00,60.5,Precio mercado spot,Precio mercado spot,Precio electricidad,2026-04-01T22:29:03
2025-03-02T10:45:00.000+01:00,60.5,Precio mercado spot,Precio mercado spot,Precio electricidad,2026-04-01T22:29:03
2025-03-02T11:00:00.000+01:00,49,Precio mercado spot,Precio mercado spot,Precio electricidad,2026-04-01T22:29:03
2025-03-02T11:15:00.000+01:00,49,Precio mercado spot,Precio mercado spot,Precio electricidad,2026-04-01T22:29:03
