dataset,column,non_null,nulls,null_pct,unique,numeric_non_null,key_like,recommended_action,reason,sample
sepe_contratos_limpio.csv,sector_construccion,39456,58082,59.55,882,39456,False,revisar_columna,"Nulidad alta, pero puede aportar informacion parcial.",19.0 | 12.0 | 51.0
sepe_contratos_limpio.csv,sector_industria,40809,56729,58.16,1338,40809,False,revisar_columna,"Nulidad alta, pero puede aportar informacion parcial.",83.0 | 13.0 | 2.5
sepe_contratos_limpio.csv,sector_agricultura,41852,55686,57.09,1229,41852,False,revisar_columna,"Nulidad alta, pero puede aportar informacion parcial.",11.0 | 6.0 | 2.5
bcn_seguridad_limpio.csv,num_postal,4798,3274,40.56,1420,2634,False,conservar,Nulidad manejable o columna relevante.,48 | 9 | 103
sepe_paro_limpio.csv,mujeres_menor_25,60184,37972,38.69,1027,60184,False,conservar,Nulidad manejable o columna relevante.,0.0 | 35.0 | 2.5
sepe_paro_limpio.csv,hombres_menor_25,63158,34998,35.66,1070,63158,False,conservar,Nulidad manejable o columna relevante.,2.5 | 27.0 | 0.0
sepe_paro_limpio.csv,sin_empleo_anterior,63150,35006,35.66,1631,63150,False,conservar,Nulidad manejable o columna relevante.,5.0 | 100.0 | 2.5
sepe_paro_limpio.csv,sector_construccion,67138,31018,31.6,1400,67138,False,conservar,Nulidad manejable o columna relevante.,8.0 | 56.0 | 2.5
sepe_paro_limpio.csv,sector_agricultura,68948,29208,29.76,941,68948,False,conservar,Nulidad manejable o columna relevante.,5.0 | 21.0 | 0.0
sepe_contratos_limpio.csv,mujeres_indefinido_convertido,68786,28752,29.48,465,68786,True,conservar,Nulidad manejable o columna relevante.,2.5 | 9.0 | 0.0
sepe_contratos_limpio.csv,mujeres_indefinido_inicial,68786,28752,29.48,1518,68786,True,conservar,Nulidad manejable o columna relevante.,17.0 | 80.0 | 2.5
sepe_contratos_limpio.csv,mujeres_temporal_inicial,68786,28752,29.48,1972,68786,False,conservar,Nulidad manejable o columna relevante.,87.0 | 348.0 | 0.0
sepe_paro_limpio.csv,sector_industria,72069,26087,26.58,1409,72069,False,conservar,Nulidad manejable o columna relevante.,26.0 | 79.0 | 0.0
bcn_equipamientos_limpio.csv,secondary_filters_asia_id,2004,718,26.38,27,2004,True,conservar,Nulidad manejable o columna relevante.,65103003001003.0 | 65103003000000.0 | 65103003000001.0
bcn_equipamientos_limpio.csv,secondary_filters_fullpath,2004,718,26.38,27,0,False,conservar,Nulidad manejable o columna relevante.,Planol BCN >> Educació >> Ensenyament reglat >> Universitats | Planol BCN >> Educació >> Ensenyament infantil >> Ensenyament infantil (0-3 anys) | Planol BCN >> Educació >> Ensenyament infantil >> Ensenyament infantil (3-6 anys)
bcn_equipamientos_limpio.csv,secondary_filters_id,2004,718,26.38,27,2004,True,conservar,Nulidad manejable o columna relevante.,56732071.0 | 56731068.0 | 56731069.0
bcn_equipamientos_limpio.csv,secondary_filters_name,2004,718,26.38,27,0,False,conservar,Nulidad manejable o columna relevante.,Universitats | Ensenyament infantil (0-3 anys) | Ensenyament infantil (3-6 anys)
bcn_equipamientos_limpio.csv,secondary_filters_tree,2004,718,26.38,1,2004,False,conservar,Nulidad manejable o columna relevante.,651.0 | 651.0 | 651.0
sepe_contratos_limpio.csv,hombres_indefinido_convertido,72651,24887,25.52,486,72651,True,conservar,Nulidad manejable o columna relevante.,7.0 | 6.0 | 0.0
sepe_contratos_limpio.csv,hombres_indefinido_inicial,72651,24887,25.52,1706,72651,True,conservar,Nulidad manejable o columna relevante.,19.0 | 69.0 | 2.5
sepe_contratos_limpio.csv,hombres_temporal_inicial,72651,24887,25.52,1980,72651,False,conservar,Nulidad manejable o columna relevante.,159.0 | 305.0 | 7.0
sepe_contratos_limpio.csv,sector_servicios,72659,24879,25.51,2844,72659,False,conservar,Nulidad manejable o columna relevante.,179.0 | 786.0 | 11.0
sepe_contratos_limpio.csv,contratos_total,78643,18895,19.37,3239,78643,False,conservar,Nulidad manejable o columna relevante.,292.0 | 817.0 | 15.0
sepe_paro_limpio.csv,hombres_25_44,79420,18736,19.09,1815,79420,False,conservar,Nulidad manejable o columna relevante.,24.0 | 143.0 | 5.0
sepe_paro_limpio.csv,mujeres_25_44,81018,17138,17.46,2255,81018,False,conservar,Nulidad manejable o columna relevante.,25.0 | 258.0 | 6.0
sepe_paro_limpio.csv,hombres_45_mas,88783,9373,9.55,2270,88783,False,conservar,Nulidad manejable o columna relevante.,42.0 | 260.0 | 10.0
sepe_paro_limpio.csv,mujeres_45_mas,89026,9130,9.3,2822,89026,False,conservar,Nulidad manejable o columna relevante.,68.0 | 409.0 | 13.0
