dataset,column,dtype,non_null,nulls,null_pct,unique,numeric_non_null,sample
bcn_seguridad_limpio.csv,mes_any,int64,8072,0,0.0,12,8072,1 | 1 | 1
bcn_seguridad_limpio.csv,id,int64,8072,0,0.0,8072,8072,1 | 2 | 3
bcn_seguridad_limpio.csv,num_postal,str,4798,3274,0.4056,1420,2634,48 | 9 | 103
bcn_seguridad_limpio.csv,longitud_wgs84,float64,8072,0,0.0,4991,8072,2.17187632 | 2.16713227 | 2.16713227
bcn_seguridad_limpio.csv,descripcio_dia_setmana,str,8072,0,0.0,7,0,Diumenge | Dijous | Dijous
bcn_seguridad_limpio.csv,variable_iseu,str,8072,0,0.0,1,0,Seguridad ciudadana | Seguridad ciudadana | Seguridad ciudadana
bcn_seguridad_limpio.csv,dataset_key,str,8072,0,0.0,1,0,bcn_seguridad | bcn_seguridad | bcn_seguridad
bcn_seguridad_limpio.csv,extraido_en,str,8072,0,0.0,1,0,2026-05-14T00:50:01 | 2026-05-14T00:50:01 | 2026-05-14T00:50:01
bcn_transporte_limpio.csv,id_tipus_configuracio,int64,27,0,0.0,8,27,1 | 1 | 1
bcn_transporte_limpio.csv,temps_maxim,int64,27,0,0.0,9,27,2 | 2 | 3
bcn_transporte_limpio.csv,codi_tarifa,str,27,0,0.0,27,0,A | B | C
bcn_transporte_limpio.csv,temps_minim,int64,27,0,0.0,2,27,0 | 0 | 0
bcn_transporte_limpio.csv,id_tipus_tarifa,int64,27,0,0.0,8,27,1 | 1 | 1
bcn_transporte_limpio.csv,id_tarifa,int64,27,0,0.0,27,27,46 | 47 | 48
bcn_transporte_limpio.csv,import_fraccio,float64,27,0,0.0,15,27,2.5 | 2.25 | 1.96
bcn_transporte_limpio.csv,import_maxim,float64,27,0,0.0,19,27,5.0 | 4.5 | 5.88
bcn_transporte_limpio.csv,descripcio,str,27,0,0.0,24,0,"2,50 euros/hora Temp.max Est. 2 hores | 2,25 euros/hora Temp.max Est. 2 hores | 1,96 euros/hora Temp.max Est. 3 hores"
bcn_transporte_limpio.csv,tipus_fraccio,int64,27,0,0.0,3,27,1 | 1 | 1
bcn_transporte_limpio.csv,id,int64,27,0,0.0,27,27,1 | 2 | 3
bcn_transporte_limpio.csv,desc_curta,str,27,0,0.0,24,0,"2,50 E/h <= 2h | 2,25 E/h <= 2h | 1,96 E/h <= 3h"
bcn_transporte_limpio.csv,variable_iseu,str,27,0,0.0,1,0,Coste movilidad urbana | Coste movilidad urbana | Coste movilidad urbana
bcn_transporte_limpio.csv,dataset_key,str,27,0,0.0,1,0,bcn_transporte | bcn_transporte | bcn_transporte
bcn_transporte_limpio.csv,extraido_en,str,27,0,0.0,1,0,2026-05-14T00:50:04 | 2026-05-14T00:50:04 | 2026-05-14T00:50:04
bcn_turismo_limpio.csv,addresses_end_street_number,float64,40,406,0.9103,32,40,34.0 | 621.0 | 6.0
bcn_turismo_limpio.csv,geo_epgs_4326_lon,float64,446,0,0.0,440,446,2.141985641711951 | 2.162192579213957 | 2.148305485811022
bcn_turismo_limpio.csv,values_attribute_name,str,444,2,0.0045,6,0,Centraleta | Centraleta | Centraleta
bcn_turismo_limpio.csv,addresses_road_name,str,446,0,0.0,250,0,C Loreto | Rbla Catalunya | Carrer de Lincoln
bcn_turismo_limpio.csv,values_category,str,444,2,0.0045,1,0,Telèfons | Telèfons | Telèfons
bcn_turismo_limpio.csv,addresses_zip_code,int64,446,0,0.0,38,446,8029 | 8008 | 8006
bcn_turismo_limpio.csv,secondary_filters_id,int64,446,0,0.0,5,446,54731069 | 54731069 | 54731070
bcn_turismo_limpio.csv,values_value,str,444,2,0.0045,436,394,933223215 | 934875989 | 932183355
bcn_turismo_limpio.csv,addresses_town,str,446,0,0.0,2,0,BARCELONA | BARCELONA | Barcelona
bcn_turismo_limpio.csv,secondary_filters_name,str,446,0,0.0,5,0,Hotels 4 estr. | Hotels 4 estr. | Hotels 3 estr.
bcn_turismo_limpio.csv,secondary_filters_tree,int64,446,0,0.0,1,446,651 | 651 | 651
bcn_turismo_limpio.csv,addresses_district_name,str,446,0,0.0,10,0,Les Corts | Eixample | Sarrià-Sant Gervasi
bcn_turismo_limpio.csv,geo_epgs_25831_x,float64,446,0,0.0,440,446,428266.13815732615 | 429958.1546589917 | 428807.379
bcn_turismo_limpio.csv,addresses_start_street_number,float64,444,2,0.0045,209,444,21.0 | 76.0 | 32.0
bcn_turismo_limpio.csv,register_id,str,446,0,0.0,446,0,﻿75990076583 | ﻿75990281450 | ﻿75990075998
bcn_turismo_limpio.csv,institution_id,float64,0,446,1.0,0,0,
bcn_turismo_limpio.csv,addresses_main_address,bool,446,0,0.0,1,446,True | True | True
bcn_turismo_limpio.csv,addresses_district_id,int64,446,0,0.0,10,446,4 | 2 | 5
bcn_turismo_limpio.csv,addresses_roadtype_id,float64,0,446,1.0,0,0,
bcn_turismo_limpio.csv,addresses_neighborhood_id,int64,446,0,0.0,45,446,19 | 7 | 27
bcn_turismo_limpio.csv,id,int64,446,0,0.0,446,446,1 | 2 | 3
bcn_turismo_limpio.csv,name,str,446,0,0.0,446,0,Hotel Derby - HB-002794 | HCC Hotel Regente - HB-002057 | Aparthotel Augusta - HB-003712
bcn_turismo_limpio.csv,addresses_road_id,int64,446,0,0.0,211,446,180900 | 74506 | 179708
bcn_turismo_limpio.csv,created,str,446,0,0.0,312,0,1996-09-18T00:00:00 | 1996-09-18T00:00:00 | 1996-09-18T00:00:00
bcn_turismo_limpio.csv,geo_epgs_25831_y,float64,446,0,0.0,440,446,4582385.377463384 | 4582638.782345727 | 4583689.236
bcn_turismo_limpio.csv,modified,str,446,0,0.0,446,0,2023-10-03T10:44:21.390375 | 2023-10-03T10:17:19.153238 | 2026-04-30T11:02:13.257447
bcn_turismo_limpio.csv,secondary_filters_asia_id,int64,446,0,0.0,5,446,65103001000001 | 65103001000001 | 65103001000002
bcn_turismo_limpio.csv,secondary_filters_fullpath,str,446,0,0.0,5,0,Planol BCN >> Allotjament >> Hotels >> Hotels 4 estr. | Planol BCN >> Allotjament >> Hotels >> Hotels 4 estr. | Planol BCN >> Allotjament >> Hotels >> Hotels 3 estr.
bcn_turismo_limpio.csv,geo_epgs_4326_lat,float64,446,0,0.0,440,446,41.38980186410714 | 41.39223331674776 | 41.40159331152714
bcn_turismo_limpio.csv,values_description,float64,0,446,1.0,0,0,
